Layers,Epochs,Mini-Batch Size,Learning Rate,Final Accuracy,"Epoch Outputs [#, # Correct, Total]"
"[784, 30, 10]",20,10,3.0,0.9475,"[[0, 9040, 10000], [1, 9235, 10000], [2, 9306, 10000], [3, 9336, 10000], [4, 9348, 10000], [5, 9393, 10000], [6, 9410, 10000], [7, 9402, 10000], [8, 9408, 10000], [9, 9424, 10000], [10, 9454, 10000], [11, 9456, 10000], [12, 9454, 10000], [13, 9419, 10000], [14, 9481, 10000], [15, 9468, 10000], [16, 9477, 10000], [17, 9472, 10000], [18, 9475, 10000], [19, 9475, 10000]]"
"[784, 30, 10]",20,10,3.0,0.9439,"[[0, 9148, 10000], [1, 9261, 10000], [2, 9293, 10000], [3, 9363, 10000], [4, 9398, 10000], [5, 9423, 10000], [6, 9410, 10000], [7, 9435, 10000], [8, 9436, 10000], [9, 9470, 10000], [10, 9484, 10000], [11, 9461, 10000], [12, 9459, 10000], [13, 9489, 10000], [14, 9499, 10000], [15, 9462, 10000], [16, 9480, 10000], [17, 9446, 10000], [18, 9491, 10000], [19, 9439, 10000]]"
"[784, 30, 10]",20,10,3.0,0.9432,"[[0, 9124, 10000], [1, 9230, 10000], [2, 9297, 10000], [3, 9345, 10000], [4, 9306, 10000], [5, 9362, 10000], [6, 9389, 10000], [7, 9410, 10000], [8, 9401, 10000], [9, 9446, 10000], [10, 9419, 10000], [11, 9408, 10000], [12, 9439, 10000], [13, 9460, 10000], [14, 9463, 10000], [15, 9458, 10000], [16, 9455, 10000], [17, 9440, 10000], [18, 9484, 10000], [19, 9432, 10000]]"
"[784, 30, 10]",20,100,3.0,0.9317,"[[0, 7008, 10000], [1, 7586, 10000], [2, 7882, 10000], [3, 7978, 10000], [4, 8896, 10000], [5, 8995, 10000], [6, 9045, 10000], [7, 9116, 10000], [8, 9159, 10000], [9, 9184, 10000], [10, 9199, 10000], [11, 9222, 10000], [12, 9238, 10000], [13, 9246, 10000], [14, 9277, 10000], [15, 9270, 10000], [16, 9286, 10000], [17, 9307, 10000], [18, 9311, 10000], [19, 9317, 10000]]"
"[784, 30, 10]",20,10,10.0,0.942,"[[0, 9074, 10000], [1, 9212, 10000], [2, 9222, 10000], [3, 9283, 10000], [4, 9327, 10000], [5, 9322, 10000], [6, 9360, 10000], [7, 9384, 10000], [8, 9374, 10000], [9, 9448, 10000], [10, 9374, 10000], [11, 9411, 10000], [12, 9425, 10000], [13, 9466, 10000], [14, 9470, 10000], [15, 9408, 10000], [16, 9433, 10000], [17, 9409, 10000], [18, 9503, 10000], [19, 9420, 10000]]"
"[784, 30, 10]",20,10,100.0,0.1021,"[[0, 1021, 10000], [1, 1021, 10000], [2, 1021, 10000], [3, 1021, 10000], [4, 1021, 10000], [5, 1021, 10000], [6, 1021, 10000], [7, 1021, 10000], [8, 1021, 10000], [9, 1021, 10000], [10, 1021, 10000], [11, 1021, 10000], [12, 1021, 10000], [13, 1021, 10000], [14, 1021, 10000], [15, 1021, 10000], [16, 1021, 10000], [17, 1021, 10000], [18, 1021, 10000], [19, 1021, 10000]]"
"[784, 30, 10]",20,10,0.1,0.9116,"[[0, 5619, 10000], [1, 7005, 10000], [2, 7467, 10000], [3, 8062, 10000], [4, 8366, 10000], [5, 8525, 10000], [6, 8652, 10000], [7, 8721, 10000], [8, 8788, 10000], [9, 8870, 10000], [10, 8908, 10000], [11, 8937, 10000], [12, 8972, 10000], [13, 9002, 10000], [14, 9030, 10000], [15, 9036, 10000], [16, 9072, 10000], [17, 9082, 10000], [18, 9095, 10000], [19, 9116, 10000]]"
"[784, 30, 10]",20,10,0.01,0.7121,"[[0, 2656, 10000], [1, 3662, 10000], [2, 4394, 10000], [3, 5013, 10000], [4, 5452, 10000], [5, 5721, 10000], [6, 5936, 10000], [7, 6092, 10000], [8, 6207, 10000], [9, 6338, 10000], [10, 6458, 10000], [11, 6566, 10000], [12, 6658, 10000], [13, 6759, 10000], [14, 6845, 10000], [15, 6909, 10000], [16, 6965, 10000], [17, 7021, 10000], [18, 7067, 10000], [19, 7121, 10000]]"
"[784, 100, 10]",20,10,3.0,0.9659,"[[0, 5777, 10000], [1, 6702, 10000], [2, 6778, 10000], [3, 7690, 10000], [4, 7768, 10000], [5, 7812, 10000], [6, 9475, 10000], [7, 9548, 10000], [8, 9585, 10000], [9, 9603, 10000], [10, 9592, 10000], [11, 9609, 10000], [12, 9625, 10000], [13, 9603, 10000], [14, 9612, 10000], [15, 9621, 10000], [16, 9643, 10000], [17, 9645, 10000], [18, 9653, 10000], [19, 9659, 10000]]"
"[784, 2, 10]",10,20,3.0,0.3052,"[[0, 2698, 10000], [1, 3019, 10000], [2, 3038, 10000], [3, 3072, 10000], [4, 3057, 10000], [5, 3057, 10000], [6, 3047, 10000], [7, 3052, 10000], [8, 3076, 10000], [9, 3052, 10000]]"
